id,image_url,scientific_name,iconic_taxon_name,taxon_id
335236,https://inaturalist-open-data.s3.amazonaws.com/photos/418299/medium.JPG,Araneae,Arachnida,47118
391354,https://inaturalist-open-data.s3.amazonaws.com/photos/489629/medium.jpg,Araneae,Arachnida,47118
679239,https://inaturalist-open-data.s3.amazonaws.com/photos/855571/medium.jpg,Araneae,Arachnida,47118
944933,https://inaturalist-open-data.s3.amazonaws.com/photos/1200423/medium.,Araneae,Arachnida,47118
947100,https://static.inaturalist.org/photos/1183569/medium.jpg,Zygiella x-notata,Arachnida,155279
947523,https://inaturalist-open-data.s3.amazonaws.com/photos/1201359/medium.,Salsa fuliginata,Arachnida,1399033
948624,https://static.inaturalist.org/photos/1184628/medium.jpg,Araneae,Arachnida,47118
950295,https://inaturalist-open-data.s3.amazonaws.com/photos/1203695/medium.,Araneidae,Arachnida,47535
952789,https://static.inaturalist.org/photos/1204880/medium.,Araneae,Arachnida,47118
963931,https://static.inaturalist.org/photos/1214908/medium.,Araneae,Arachnida,47118
964952,https://inaturalist-open-data.s3.amazonaws.com/photos/1215965/medium.,Araneae,Arachnida,47118
966898,https://inaturalist-open-data.s3.amazonaws.com/photos/1218798/medium.,Araneae,Arachnida,47118
967361,https://static.inaturalist.org/photos/1219593/medium.,Araneae,Arachnida,47118
967970,https://inaturalist-open-data.s3.amazonaws.com/photos/1220519/medium.,Araneae,Arachnida,47118
968722,https://static.inaturalist.org/photos/1221507/medium.,Araneae,Arachnida,47118
971611,https://inaturalist-open-data.s3.amazonaws.com/photos/1225402/medium.,Clubiona,Arachnida,121774
972146,https://inaturalist-open-data.s3.amazonaws.com/photos/1188685/medium.jpg,Araneae,Arachnida,47118
973930,https://static.inaturalist.org/photos/1228388/medium.,Araneae,Arachnida,47118
973935,https://static.inaturalist.org/photos/1228395/medium.,Araneae,Arachnida,47118
974942,https://inaturalist-open-data.s3.amazonaws.com/photos/1229796/medium.,Zygiella x-notata,Arachnida,155279
984573,https://inaturalist-open-data.s3.amazonaws.com/photos/1242489/medium.,Zygiella x-notata,Arachnida,155279
985362,https://inaturalist-open-data.s3.amazonaws.com/photos/1243523/medium.,Zygiella x-notata,Arachnida,155279
985766,https://inaturalist-open-data.s3.amazonaws.com/photos/1244070/medium.,Zygiella x-notata,Arachnida,155279
986790,https://static.inaturalist.org/photos/1245416/medium.,Araneae,Arachnida,47118
989243,https://inaturalist-open-data.s3.amazonaws.com/photos/1248499/medium.,Zygiella x-notata,Arachnida,155279
991767,https://inaturalist-open-data.s3.amazonaws.com/photos/1250835/medium.,Zygiella x-notata,Arachnida,155279
991820,https://inaturalist-open-data.s3.amazonaws.com/photos/1250996/medium.,Araneae,Arachnida,47118
991979,https://inaturalist-open-data.s3.amazonaws.com/photos/1251223/medium.,Araneae,Arachnida,47118
997679,https://inaturalist-open-data.s3.amazonaws.com/photos/1257472/medium.,Araneae,Arachnida,47118
998962,https://inaturalist-open-data.s3.amazonaws.com/photos/1258916/medium.,Araneae,Arachnida,47118
998964,https://inaturalist-open-data.s3.amazonaws.com/photos/1258922/medium.,Araneae,Arachnida,47118
999009,https://inaturalist-open-data.s3.amazonaws.com/photos/1258974/medium.,Theridiidae,Arachnida,47371
999010,https://inaturalist-open-data.s3.amazonaws.com/photos/1261900/medium.,Araneae,Arachnida,47118
999012,https://inaturalist-open-data.s3.amazonaws.com/photos/1258976/medium.,Theridiidae,Arachnida,47371
999033,https://inaturalist-open-data.s3.amazonaws.com/photos/1259000/medium.,Araneae,Arachnida,47118
999058,https://inaturalist-open-data.s3.amazonaws.com/photos/1259053/medium.,Araneae,Arachnida,47118
999447,https://inaturalist-open-data.s3.amazonaws.com/photos/1259314/medium.,Araneae,Arachnida,47118
999505,https://inaturalist-open-data.s3.amazonaws.com/photos/1259417/medium.,Araneae,Arachnida,47118
999684,https://inaturalist-open-data.s3.amazonaws.com/photos/1259684/medium.,Araneae,Arachnida,47118
999780,https://inaturalist-open-data.s3.amazonaws.com/photos/1259814/medium.,Araneae,Arachnida,47118
999781,https://inaturalist-open-data.s3.amazonaws.com/photos/1259816/medium.,Araneae,Arachnida,47118
1000315,https://inaturalist-open-data.s3.amazonaws.com/photos/1260450/medium.,Araneae,Arachnida,47118
1000788,https://inaturalist-open-data.s3.amazonaws.com/photos/1260934/medium.,Araneae,Arachnida,47118
1000963,https://inaturalist-open-data.s3.amazonaws.com/photos/1261453/medium.,Araneae,Arachnida,47118
1001478,https://inaturalist-open-data.s3.amazonaws.com/photos/1261809/medium.,Araneae,Arachnida,47118
1001517,https://inaturalist-open-data.s3.amazonaws.com/photos/1261874/medium.,Araneae,Arachnida,47118
1003628,https://inaturalist-open-data.s3.amazonaws.com/photos/1264502/medium.,Araneae,Arachnida,47118
1003632,https://inaturalist-open-data.s3.amazonaws.com/photos/1264514/medium.,Araneae,Arachnida,47118
1003634,https://inaturalist-open-data.s3.amazonaws.com/photos/1264524/medium.,Araneae,Arachnida,47118
1003660,https://inaturalist-open-data.s3.amazonaws.com/photos/1264557/medium.,Araneae,Arachnida,47118
1004120,https://static.inaturalist.org/photos/1265018/medium.,Araneae,Arachnida,47118
1004334,https://static.inaturalist.org/photos/1265326/medium.,Araneae,Arachnida,47118
